09:24:19.246 [restartedMain] INFO  ks46team02.Ks46team02Application - Starting Ks46team02Application using Java 17.0.6 with PID 12124 (C:\Users\p3153\git\repository\ks46team02\target\classes started by p3153 in C:\Users\p3153\git\repository\ks46team02)
09:24:19.247 [restartedMain] INFO  ks46team02.Ks46team02Application - No active profile set, falling back to 1 default profile: "default"
09:24:20.004 [restartedMain] INFO  ks46team02.Ks46team02Application - Started Ks46team02Application in 0.816 seconds (process running for 722.353)
09:24:23.329 [restartedMain] INFO  ks46team02.Ks46team02Application - Starting Ks46team02Application using Java 17.0.6 with PID 12124 (C:\Users\p3153\git\repository\ks46team02\target\classes started by p3153 in C:\Users\p3153\git\repository\ks46team02)
09:24:23.330 [restartedMain] INFO  ks46team02.Ks46team02Application - No active profile set, falling back to 1 default profile: "default"
09:24:23.942 [restartedMain] INFO  ks46team02.Ks46team02Application - Started Ks46team02Application in 0.637 seconds (process running for 726.291)
09:24:31.244 [restartedMain] INFO  ks46team02.Ks46team02Application - Starting Ks46team02Application using Java 17.0.6 with PID 12124 (C:\Users\p3153\git\repository\ks46team02\target\classes started by p3153 in C:\Users\p3153\git\repository\ks46team02)
09:24:31.245 [restartedMain] INFO  ks46team02.Ks46team02Application - No active profile set, falling back to 1 default profile: "default"
09:24:43.325 [restartedMain] INFO  ks46team02.Ks46team02Application - Starting Ks46team02Application using Java 17.0.6 with PID 27388 (C:\Users\p3153\git\repository\ks46team02\target\classes started by p3153 in C:\Users\p3153\git\repository\ks46team02)
09:24:43.326 [restartedMain] INFO  ks46team02.Ks46team02Application - No active profile set, falling back to 1 default profile: "default"
09:24:46.720 [restartedMain] INFO  ks46team02.Ks46team02Application - Started Ks46team02Application in 3.872 seconds (process running for 4.583)
